CWE_ID,Name,Description,URL
1091,Use of Object without Invoking Destructor Method,The product contains a method that accesses an object but does not later invoke 					the element's associated finalize/destructor method.,https://cwe.mitre.org/data/definitions/1091.html
1093,Excessively Complex Data Representation,The product uses an unnecessarily complex internal representation for its data structures or interrelationships between those structures.,https://cwe.mitre.org/data/definitions/1093.html
1096,Singleton Class Instance Creation without Proper Locking or Synchronization,The product implements a Singleton design pattern but does not use appropriate locking or other synchronization mechanism to ensure that the singleton class is only instantiated once.,https://cwe.mitre.org/data/definitions/1096.html
1098,Data Element containing Pointer Item without Proper Copy Control Element,The code contains a data element with a pointer that does not have an associated copy or constructor method.,https://cwe.mitre.org/data/definitions/1098.html
11,ASP.NET Misconfiguration: Creating Debug Binary,Debugging messages help attackers learn about the system and plan a form of attack.,https://cwe.mitre.org/data/definitions/11.html
110,Struts: Validator Without Form Field,Validation fields that do not appear in forms they are associated with indicate that the validation logic is out of date.,https://cwe.mitre.org/data/definitions/110.html
1100,Insufficient Isolation of System-Dependent Functions,The product or code does not isolate system-dependent 					functionality into separate standalone modules.,https://cwe.mitre.org/data/definitions/1100.html
1102,Reliance on Machine-Dependent Data Representation,"The code uses a data representation that relies on low-level 					data representation or constructs that may vary across different processors, 					physical machines, OSes, or other physical components.",https://cwe.mitre.org/data/definitions/1102.html
1104,Use of Unmaintained Third Party Components,The product relies on third-party components that are not 					actively supported or maintained by the original developer or a trusted proxy 					for the original developer.,https://cwe.mitre.org/data/definitions/1104.html
1108,Excessive Reliance on Global Variables,"The code is structured in a way that relies too much on using 					or setting global variables throughout various points in the code, instead of 					preserving the associated information in a narrower, more local 					context.",https://cwe.mitre.org/data/definitions/1108.html
111,Direct Use of Unsafe JNI,"When a Java application uses the Java Native Interface (JNI) to call code written in another programming language, it can expose the application to weaknesses in that code, even if those weaknesses cannot occur in Java.",https://cwe.mitre.org/data/definitions/111.html
1116,Inaccurate Comments,The source code contains comments that do not accurately 					describe or explain aspects of the portion of the code with which the comment is 					associated.,https://cwe.mitre.org/data/definitions/1116.html
112,Missing XML Validation,The product accepts XML from an untrusted source but does not validate the XML against the proper schema.,https://cwe.mitre.org/data/definitions/112.html
1120,Excessive Code Complexity,"The code is too complex, as calculated using a well-defined, 					quantitative measure.",https://cwe.mitre.org/data/definitions/1120.html
1123,Excessive Use of Self-Modifying Code,The product uses too much self-modifying 					code.,https://cwe.mitre.org/data/definitions/1123.html
1126,Declaration of Variable with Unnecessarily Wide Scope,"The source code declares a variable in one scope, but the 					variable is only used within a narrower scope.",https://cwe.mitre.org/data/definitions/1126.html
1127,Compilation with Insufficient Warnings or Errors,"The code is compiled without sufficient warnings enabled, which 					may prevent the detection of subtle bugs or quality 					issues.",https://cwe.mitre.org/data/definitions/1127.html
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),"The product receives data from an HTTP agent/component (e.g., web server, proxy, browser, etc.), but it does not neutralize or incorrectly neutralizes CR and LF characters before the data is included in outgoing HTTP headers.",https://cwe.mitre.org/data/definitions/113.html
115,Misinterpretation of Input,"The product misinterprets an input, whether from an attacker or another product, in a security-relevant fashion.",https://cwe.mitre.org/data/definitions/115.html
116,Improper Encoding or Escaping of Output,"The product prepares a structured message for communication with another component, but encoding or escaping of the data is either missing or done incorrectly. As a result, the intended structure of the message is not preserved.",https://cwe.mitre.org/data/definitions/116.html
1164,Irrelevant Code,"The product contains code that is not essential for execution, 	     i.e. makes no state changes and has no side effects that alter 	     data or control flow, such that removal of the code would have no impact 	     to functionality or correctness.",https://cwe.mitre.org/data/definitions/1164.html
117,Improper Output Neutralization for Logs,"The product constructs a log message from external input, but it does not neutralize or incorrectly neutralizes special elements when the message is written to a log file.",https://cwe.mitre.org/data/definitions/117.html
1173,Improper Use of Validation Framework,"The product does not use, or incorrectly uses, an input validation framework that is provided by the source language or an independent library.",https://cwe.mitre.org/data/definitions/1173.html
1174,ASP.NET Misconfiguration: Improper Model Validation,"The ASP.NET application does not use, or incorrectly uses, the model validation framework.",https://cwe.mitre.org/data/definitions/1174.html
1176,Inefficient CPU Computation,"The product performs CPU computations using          algorithms that are not as efficient as they could be for the          needs of the developer, i.e., the computations can be          optimized further.",https://cwe.mitre.org/data/definitions/1176.html
1177,Use of Prohibited Code,"The product uses a function, library, or third party component 	     that has been explicitly prohibited, whether by the developer or 	     the customer.",https://cwe.mitre.org/data/definitions/1177.html
1188,Initialization of a Resource with an Insecure Default,"The product initializes or sets a resource with a default that is intended to be changed by the administrator, but the default is not secure.",https://cwe.mitre.org/data/definitions/1188.html
1189,Improper Isolation of Shared Resources on System-on-a-Chip (SoC),The System-On-a-Chip (SoC) does not properly isolate shared resources between trusted and untrusted agents.,https://cwe.mitre.org/data/definitions/1189.html
1190,DMA Device Enabled Too Early in Boot Phase,"The product enables a Direct Memory Access (DMA) capable device before the security configuration settings are established, which allows an attacker to extract data from or gain privileges on the product.",https://cwe.mitre.org/data/definitions/1190.html
1191,On-Chip Debug and Test Interface With Improper Access Control,The chip does not implement or does not correctly perform access control to check whether users are authorized to access internal registers and test modes through the physical debug/test interface.,https://cwe.mitre.org/data/definitions/1191.html
1192,Improper Identifier for IP Block used in System-On-Chip (SOC),"The System-on-Chip (SoC) does not have unique, immutable identifiers for each of its components.",https://cwe.mitre.org/data/definitions/1192.html
1193,Power-On of Untrusted Execution Core Before Enabling Fabric Access Control,The product enables components that contain untrusted firmware before memory and fabric access controls have been enabled.,https://cwe.mitre.org/data/definitions/1193.html
12,ASP.NET Misconfiguration: Missing Custom Error Page,An ASP .NET application must enable custom error pages in order to prevent attackers from mining information from the framework's built-in responses.,https://cwe.mitre.org/data/definitions/12.html
120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer.,https://cwe.mitre.org/data/definitions/120.html
1204,Generation of Weak Initialization Vector (IV),"The product uses a cryptographic primitive that uses an Initialization 			Vector (IV), but the product does not generate IVs that are 			sufficiently unpredictable or unique according to the expected 			cryptographic requirements for that primitive.",https://cwe.mitre.org/data/definitions/1204.html
1209,Failure to Disable Reserved Bits,"The reserved bits in a hardware design are not disabled prior to production. Typically, reserved bits are used for future capabilities and should not support any functional logic in the design.   However, designers might covertly use these bits to debug or further develop new capabilities in production hardware. Adversaries with access to these bits will write to them in hopes of compromising hardware state.",https://cwe.mitre.org/data/definitions/1209.html
121,Stack-based Buffer Overflow,"A stack-based buffer overflow condition is a condition where the buffer being overwritten is allocated on the stack (i.e., is a local variable or, rarely, a parameter to a function).",https://cwe.mitre.org/data/definitions/121.html
122,Heap-based Buffer Overflow,"A heap overflow condition is a buffer overflow, where the buffer that can be overwritten is allocated in the heap portion of memory, generally meaning that the buffer was allocated using a routine such as malloc().",https://cwe.mitre.org/data/definitions/122.html
1220,Insufficient Granularity of Access Control,"The product implements access controls via a policy or other feature with the intention to disable or restrict accesses (reads and/or writes) to assets in a system from untrusted agents. However, implemented access controls lack required granularity, which renders the control policy too broad because it allows accesses from unauthorized agents to the security-sensitive assets.",https://cwe.mitre.org/data/definitions/1220.html
1221,Incorrect Register Defaults or Module Parameters,Hardware description language code incorrectly defines register defaults or hardware Intellectual Property (IP) parameters to insecure values.,https://cwe.mitre.org/data/definitions/1221.html
1222,Insufficient Granularity of Address Regions Protected by Register Locks,The product defines a large address region protected from modification by the same register lock control bit. This results in a conflict between the functional requirement that some addresses need to be writable by software during operation and the security requirement that the system configuration lock bit must be set during the boot process.,https://cwe.mitre.org/data/definitions/1222.html
1223,Race Condition for Write-Once Attributes,"A write-once register in hardware design is programmable by an untrusted software component earlier than the trusted software component, resulting in a race condition issue.",https://cwe.mitre.org/data/definitions/1223.html
1224,Improper Restriction of Write-Once Bit Fields,"The hardware design control register ""sticky bits"" or write-once bit fields are improperly implemented, such that they can be reprogrammed by software.",https://cwe.mitre.org/data/definitions/1224.html
1229,Creation of Emergent Resource,"The product manages resources or behaves in a way that indirectly creates a new, distinct resource that can be used by attackers in violation of the intended policy.",https://cwe.mitre.org/data/definitions/1229.html
123,Write-what-where Condition,"Any condition where the attacker has the ability to write an arbitrary value to an arbitrary location, often as the result of a buffer overflow.",https://cwe.mitre.org/data/definitions/123.html
1230,Exposure of Sensitive Information Through Metadata,"The product prevents direct access to a resource containing sensitive information, but it does not sufficiently limit access to metadata that is derived from the original, sensitive information.",https://cwe.mitre.org/data/definitions/1230.html
1231,Improper Prevention of Lock Bit Modification,"The product uses a trusted lock bit for restricting access to registers, address regions, or other resources, but the product does not prevent the value of the lock bit from being modified after it has been set.",https://cwe.mitre.org/data/definitions/1231.html
1232,Improper Lock Behavior After Power State Transition,"Register lock bit protection disables changes to system configuration once the bit is set. Some of the protected registers or lock bits become programmable after power state transitions (e.g., Entry and wake from low power sleep modes) causing the system configuration to be changeable.",https://cwe.mitre.org/data/definitions/1232.html
1233,Security-Sensitive Hardware Controls with Missing Lock Bit Protection,"The product uses a register lock bit protection mechanism, but it does not ensure that the lock bit prevents modification of system registers or controls that perform changes to important hardware system configuration.",https://cwe.mitre.org/data/definitions/1233.html
1234,Hardware Internal or Debug Modes Allow Override of Locks,System configuration protection may be bypassed during debug mode.,https://cwe.mitre.org/data/definitions/1234.html
1235,Incorrect Use of Autoboxing and Unboxing for Performance Critical Operations,"The code uses boxed primitives, which may introduce inefficiencies into performance-critical operations.",https://cwe.mitre.org/data/definitions/1235.html
1236,Improper Neutralization of Formula Elements in a CSV File,"The product saves user-provided information into a Comma-Separated Value (CSV) file, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as a command when the file is opened by a spreadsheet product.",https://cwe.mitre.org/data/definitions/1236.html
1239,Improper Zeroization of Hardware Register,The hardware product does not properly clear sensitive information from built-in registers when the user of the hardware block changes.,https://cwe.mitre.org/data/definitions/1239.html
124,Buffer Underwrite ('Buffer Underflow'),The product writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.,https://cwe.mitre.org/data/definitions/124.html
1240,Use of a Cryptographic Primitive with a Risky Implementation,"To fulfill the need for a cryptographic primitive, the product implements a cryptographic algorithm using a non-standard, unproven, or disallowed/non-compliant cryptographic implementation.",https://cwe.mitre.org/data/definitions/1240.html
1241,Use of Predictable Algorithm in Random Number Generator,The device uses an algorithm that is predictable and generates a pseudo-random number.,https://cwe.mitre.org/data/definitions/1241.html
1242,Inclusion of Undocumented Features or Chicken Bits,The device includes chicken bits or undocumented features that can create entry points for unauthorized actors.,https://cwe.mitre.org/data/definitions/1242.html
1243,Sensitive Non-Volatile Information Not Protected During Debug,Access to security-sensitive information stored in fuses is not limited during debug.,https://cwe.mitre.org/data/definitions/1243.html
1244,Internal Asset Exposed to Unsafe Debug Access Level or State,"The product uses physical debug or test         interfaces with support for multiple access levels, but it         assigns the wrong debug access level to an internal asset,         providing unintended access to the asset from untrusted debug         agents.",https://cwe.mitre.org/data/definitions/1244.html
1245,Improper Finite State Machines (FSMs) in Hardware Logic,"Faulty finite state machines (FSMs) in the hardware logic allow an attacker to put the system in an undefined state, to cause a denial of service (DoS) or gain privileges on the victim's system.",https://cwe.mitre.org/data/definitions/1245.html
1246,Improper Write Handling in Limited-write Non-Volatile Memories,The product does not implement or incorrectly implements wear leveling operations in limited-write non-volatile memories.,https://cwe.mitre.org/data/definitions/1246.html
1247,Improper Protection Against Voltage and Clock Glitches,The device does not contain or contains incorrectly implemented circuitry or sensors to detect and mitigate voltage and clock glitches and protect sensitive information or software contained on the device.,https://cwe.mitre.org/data/definitions/1247.html
1248,Semiconductor Defects in Hardware Logic with Security-Sensitive Implications,The security-sensitive hardware module contains semiconductor defects.,https://cwe.mitre.org/data/definitions/1248.html
1249,Application-Level Admin Tool with Inconsistent View of Underlying Operating System,"The product provides an application for administrators to manage parts of the underlying operating system, but the application does not accurately identify all of the relevant entities or resources that exist in the OS; that is, the application's model of the OS's state is inconsistent with the OS's actual state.",https://cwe.mitre.org/data/definitions/1249.html
125,Out-of-bounds Read,"The product reads data past the end, or before the beginning, of the intended buffer.",https://cwe.mitre.org/data/definitions/125.html
1250,Improper Preservation of Consistency Between Independent Representations of Shared State,The product has or supports multiple distributed components or sub-systems that are each required to keep their own local copy of shared data - such as state or cache - but the product does not ensure that all local copies remain consistent with each other.,https://cwe.mitre.org/data/definitions/1250.html
1251,Mirrored Regions with Different Values,The product's architecture mirrors regions without ensuring that their contents always stay in sync.,https://cwe.mitre.org/data/definitions/1251.html
1252,CPU Hardware Not Configured to Support Exclusivity of Write and Execute Operations,The CPU is not configured to provide hardware support for exclusivity of write and execute operations on memory. This allows an attacker to execute data from all of memory.,https://cwe.mitre.org/data/definitions/1252.html
1253,Incorrect Selection of Fuse Values,The logic level used to set a system to a secure state relies on a fuse being unblown. An attacker can set the system to an insecure state merely by blowing the fuse.,https://cwe.mitre.org/data/definitions/1253.html
1254,Incorrect Comparison Logic Granularity,"The product's comparison logic is performed over a series of steps rather than across the entire string in one operation. If there is a comparison logic failure on one of these steps, the operation may be vulnerable to a timing attack that can result in the interception of the process for nefarious purposes.",https://cwe.mitre.org/data/definitions/1254.html
1255,Comparison Logic is Vulnerable to Power Side-Channel Attacks,A device's real time power consumption may be monitored during security token evaluation and the information gleaned may be used to determine the value of the reference token.,https://cwe.mitre.org/data/definitions/1255.html
1256,Improper Restriction of Software Interfaces to Hardware Features,"The product provides software-controllable 			device functionality for capabilities such as power and 			clock management, but it does not properly limit 			functionality that can lead to modification of 			hardware memory or register bits, or the ability to 			observe physical side channels.",https://cwe.mitre.org/data/definitions/1256.html
1257,Improper Access Control Applied to Mirrored or Aliased Memory Regions,Aliased or mirrored memory regions in hardware designs may have inconsistent read/write permissions enforced by the hardware. A possible result is that an untrusted agent is blocked from accessing a memory region but is not blocked from accessing the corresponding aliased memory region.,https://cwe.mitre.org/data/definitions/1257.html
1258,Exposure of Sensitive System Information Due to Uncleared Debug Information,"The hardware does not fully clear security-sensitive values, such as keys and intermediate values in cryptographic operations, when debug mode is entered.",https://cwe.mitre.org/data/definitions/1258.html
1259,Improper Restriction of Security Token Assignment,"The System-On-A-Chip (SoC) implements a Security Token mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. However, the Security Tokens are improperly protected.",https://cwe.mitre.org/data/definitions/1259.html
126,Buffer Over-read,The product reads from a buffer using buffer access mechanisms such as indexes or pointers that reference memory locations after the targeted buffer.,https://cwe.mitre.org/data/definitions/126.html
1260,Improper Handling of Overlap Between Protected Memory Ranges,"The product allows address regions to overlap, which can result in the bypassing of intended memory protection.",https://cwe.mitre.org/data/definitions/1260.html
1261,Improper Handling of Single Event Upsets,The hardware logic does not effectively handle when single-event upsets (SEUs) occur.,https://cwe.mitre.org/data/definitions/1261.html
1262,Improper Access Control for Register Interface,"The product uses memory-mapped I/O registers that act as an interface to hardware functionality from software, but there is improper access control to those registers.",https://cwe.mitre.org/data/definitions/1262.html
1263,Improper Physical Access Control,"The product is designed with access restricted to certain information, but it does not sufficiently protect against an unauthorized actor with physical access to these areas.",https://cwe.mitre.org/data/definitions/1263.html
1264,Hardware Logic with Insecure De-Synchronization between Control and Data Channels,The hardware logic for error handling and security checks can incorrectly forward data before the security check is complete.,https://cwe.mitre.org/data/definitions/1264.html
1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,"During execution of non-reentrant code, the product performs a call that unintentionally produces a nested invocation of the non-reentrant code.",https://cwe.mitre.org/data/definitions/1265.html
1266,Improper Scrubbing of Sensitive Data from Decommissioned Device,"The product does not properly provide a capability for the product administrator to remove sensitive data at the time the product is decommissioned.  A scrubbing capability could be missing, insufficient, or incorrect.",https://cwe.mitre.org/data/definitions/1266.html
1267,Policy Uses Obsolete Encoding,The product uses an obsolete encoding mechanism to implement access controls.,https://cwe.mitre.org/data/definitions/1267.html
1268,Policy Privileges are not Assigned Consistently Between Control and Data Agents,The product's hardware-enforced access control for a particular resource improperly accounts for privilege discrepancies between control and write policies.,https://cwe.mitre.org/data/definitions/1268.html
1269,Product Released in Non-Release Configuration,The product released to market is released in pre-production or manufacturing configuration.,https://cwe.mitre.org/data/definitions/1269.html
127,Buffer Under-read,The product reads from a buffer using buffer access mechanisms such as indexes or pointers that reference memory locations prior to the targeted buffer.,https://cwe.mitre.org/data/definitions/127.html
1270,Generation of Incorrect Security Tokens,"The product implements a Security Token mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. However, the Security Tokens generated in the system are incorrect.",https://cwe.mitre.org/data/definitions/1270.html
1271,Uninitialized Value on Reset for Registers Holding Security Settings,Security-critical logic is not set to a known value on reset.,https://cwe.mitre.org/data/definitions/1271.html
1272,Sensitive Information Uncleared Before Debug/Power State Transition,"The product performs a power or debug state transition, but it does not clear sensitive information that should no longer be accessible due to changes to information access restrictions.",https://cwe.mitre.org/data/definitions/1272.html
1273,Device Unlock Credential Sharing,The credentials necessary for unlocking a device are shared across multiple parties and may expose sensitive information.,https://cwe.mitre.org/data/definitions/1273.html
1274,Improper Access Control for Volatile Memory Containing Boot Code,"The product conducts a secure-boot process that transfers bootloader code from Non-Volatile Memory (NVM) into Volatile Memory (VM), but it does not have sufficient access control or other protections for the Volatile Memory.",https://cwe.mitre.org/data/definitions/1274.html
1275,Sensitive Cookie with Improper SameSite Attribute,"The SameSite attribute for sensitive cookies is not set, or an insecure value is used.",https://cwe.mitre.org/data/definitions/1275.html
1276,Hardware Child Block Incorrectly Connected to Parent System,Signals between a hardware IP and the parent system design are incorrectly connected causing security risks.,https://cwe.mitre.org/data/definitions/1276.html
1277,Firmware Not Updateable,The product does not provide its 			users with the ability to update or patch its 			firmware to address any vulnerabilities or 			weaknesses that may be present.,https://cwe.mitre.org/data/definitions/1277.html
1278,Missing Protection Against Hardware Reverse Engineering Using Integrated Circuit (IC) Imaging Techniques,Information stored in hardware may be recovered by an attacker with the capability to capture and analyze images of the integrated circuit using techniques such as scanning electron microscopy.,https://cwe.mitre.org/data/definitions/1278.html
1279,Cryptographic Operations are run Before Supporting Units are Ready,Performing cryptographic operations without ensuring that the supporting inputs are ready to supply valid data may compromise the cryptographic result.,https://cwe.mitre.org/data/definitions/1279.html
128,Wrap-around Error,"Wrap around errors occur whenever a value is incremented past the maximum value for its type and therefore ""wraps around"" to a very small, negative, or undefined value.",https://cwe.mitre.org/data/definitions/128.html
1280,Access Control Check Implemented After Asset is Accessed,A product's hardware-based access control check occurs after the asset has been accessed.,https://cwe.mitre.org/data/definitions/1280.html
1281,Sequence of Processor Instructions Leads to Unexpected Behavior,Specific combinations of processor instructions lead to undesirable behavior such as locking the processor until a hard reset performed.,https://cwe.mitre.org/data/definitions/1281.html
1282,Assumed-Immutable Data is Stored in Writable Memory,"Immutable data, such as a first-stage bootloader, device identifiers, and ""write-once"" configuration settings are stored in writable memory that can be re-programmed or updated in the field.",https://cwe.mitre.org/data/definitions/1282.html
1283,Mutable Attestation or Measurement Reporting Data,The register contents used for attestation or measurement reporting data to verify boot flow are modifiable by an adversary.,https://cwe.mitre.org/data/definitions/1283.html
1284,Improper Validation of Specified Quantity in Input,"The product receives input that is expected to specify a quantity (such as size or length), but it does not validate or incorrectly validates that the quantity has the required properties.",https://cwe.mitre.org/data/definitions/1284.html
1285,"Improper Validation of Specified Index, Position, or Offset in Input","The product receives input that is expected to specify an index, position, or offset into an indexable resource such as a buffer or file, but it does not validate or incorrectly validates that the specified index/position/offset has the required properties.",https://cwe.mitre.org/data/definitions/1285.html
1286,Improper Validation of Syntactic Correctness of Input,"The product receives input that is expected to be well-formed - i.e., to comply with a certain syntax - but it does not validate or incorrectly validates that the input complies with the syntax.",https://cwe.mitre.org/data/definitions/1286.html
1287,Improper Validation of Specified Type of Input,"The product receives input that is expected to be of a certain type, but it does not validate or incorrectly validates that the input is actually of the expected type.",https://cwe.mitre.org/data/definitions/1287.html
1288,Improper Validation of Consistency within Input,"The product receives a complex input with multiple elements or fields that must be consistent with each other, but it does not validate or incorrectly validates that the input is actually consistent.",https://cwe.mitre.org/data/definitions/1288.html
1289,Improper Validation of Unsafe Equivalence in Input,"The product receives an input value that is used as a resource identifier or other type of reference, but it does not validate or incorrectly validates that the input is equivalent to a potentially-unsafe value.",https://cwe.mitre.org/data/definitions/1289.html
129,Improper Validation of Array Index,"The product uses untrusted input when calculating or using an array index, but the product does not validate or incorrectly validates the index to ensure the index references a valid position within the array.",https://cwe.mitre.org/data/definitions/129.html
1290,Incorrect Decoding of Security Identifiers,"The product implements a decoding mechanism to decode certain bus-transaction signals to security identifiers. If the decoding is implemented incorrectly, then untrusted agents can now gain unauthorized access to the asset.",https://cwe.mitre.org/data/definitions/1290.html
1291,Public Key Re-Use for Signing both Debug and Production Code,The same public key is used for signing both debug and production code.,https://cwe.mitre.org/data/definitions/1291.html
1292,Incorrect Conversion of Security Identifiers,"The product implements a conversion mechanism to map certain bus-transaction signals to security identifiers. However, if the conversion is incorrectly implemented, untrusted agents can gain unauthorized access to the asset.",https://cwe.mitre.org/data/definitions/1292.html
1293,Missing Source Correlation of Multiple Independent Data,"The product relies on one source of data, preventing the ability to detect if an adversary has compromised a data source.",https://cwe.mitre.org/data/definitions/1293.html
1294,Insecure Security Identifier Mechanism,"The System-on-Chip (SoC) implements a Security Identifier mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. However, the Security Identifiers are not correctly implemented.",https://cwe.mitre.org/data/definitions/1294.html
1295,Debug Messages Revealing Unnecessary Information,The product fails to adequately prevent the revealing of unnecessary and potentially sensitive system information within debugging messages.,https://cwe.mitre.org/data/definitions/1295.html
1296,Incorrect Chaining or Granularity of Debug Components,The product's debug components contain incorrect chaining or granularity of debug components.,https://cwe.mitre.org/data/definitions/1296.html
